totalProteinIdealInAllMeals,totalProteinAllMeals,totalLipidIdealInAllMeals,totalLipidAllMeals,totalCaloriesIdealValue,totalCaloriesAllMeals,firstMealProteinFoodTotalGrams,firstMealLipidFoodTotalGrams,firstMealCarboFoodTotalGrams,secondMealProteinFoodTotalGrams,secondMealLipidFoodTotalGrams,secondMealCarboFoodTotalGrams,thirdMealProteinFoodTotalGrams,thirdMealLipidFoodTotalGrams,thirdMealCarboFoodTotalGrams,fourthMealProteinFoodTotalGrams,fourthMealLipidFoodTotalGrams,fourthMealCarboFoodTotalGrams
142.0,142.89672343820578,71,69.30526335231484,1502.617375,1508.129159986653,110.3066044970482,4.818539720461786,-32.61603820057262,116.93205670690955,32.9219265236578,150.96113335276996,81.8360753882938,5.766690013240215,-137.48426594149225,137.92123872461343,-1.9414702197243585,370.9486918733358
178.0,179.49017783009498,89,91.65255827916184,3716.288375000001,3716.726329558238,94.02956479507903,13.156414402355129,495.0186764387764,132.04089059300264,15.158085730873808,722.4423477505795,78.46629776906336,30.295646966568704,486.4123309660598,128.57455794754063,18.063818579272002,759.3813389901701
180.6,182.18850819917466,86,88.29948468132821,3766.4705,3767.7901114398546,80.56472501990679,11.488287683433544,273.7659229566915,129.17949191118407,27.25543989105694,773.7957467481335,91.21920466012918,17.789345844426272,509.4564537968356,105.81880351507107,15.040209076549026,425.35777054811393
90.1,90.7845312652076,53,56.55160022265293,2860.6265000000003,2858.7675812494945,31.58685766536695,11.849118771487301,574.4899172837246,71.832942436357,13.983917987611612,470.0887826711539,30.15997423050444,9.398856376642438,581.0501734198663,66.93287567318339,-1.2914893942265735,761.5141102207708
156.20000000000002,157.2668661178688,71,68.08005001538697,1393.3000000000002,1398.7207804801137,104.61260498147031,6.479394553048486,43.04561787024461,147.5833569439892,3.614262795681249,278.5975906653847,88.82461691511418,13.702121166668078,-69.87849162781399,125.8746101909107,15.474654667694963,74.39905823342843
200.0,201.29246301682633,100,96.88098394177037,2021.002,2027.274896207906,106.5013122427579,26.97167007952453,210.65126736367716,178.6900687995061,27.956988897626392,149.35494359944732,115.73621298928174,28.270921917429,91.51521131118358,181.60762035035867,12.552354847233786,204.46465602831233
209.00000000000003,210.59872103315942,95,93.91779133283946,2825.018,2828.483090675052,108.50128396508305,11.974019669061377,277.74510091246333,198.78165052433854,17.401207772593423,361.6764424585891,120.00905374233108,9.72098400324074,386.6517219422464,152.78063445361485,26.90159740984482,427.8887867960521
129.8,130.49723492195426,59,57.171344188928124,1368.2262500000002,1372.6543147437046,86.97381652700764,4.194802492617896,222.92947617196683,99.99876008940969,28.12590229200646,147.5004042954227,68.774116787011,9.711069851613953,100.76621189109117,118.01650217802394,5.006959923615604,-22.38103723107281
149.60000000000002,150.67213175092755,68,69.4985065532764,2632.28125,2633.074195558072,64.71183370668415,22.655028904084872,329.46380015935426,145.95819812660773,-1.7806266139483853,682.1451107488833,92.79944184204244,-2.239999743689154,336.13161696855207,91.61996847700817,11.495242873638134,539.4351021056877
144.5,145.68326168868305,85,88.25122608719171,3685.743500000001,3682.39998154246,61.87844645897471,20.463509650307813,387.5460116387259,89.82786449206934,32.82102137497253,760.3517513359805,60.99426191890193,31.993895925152877,370.10189899359597,106.08363496582412,20.697777307010846,609.677167322662
