totalProteinIdealInAllMeals,proteinSourceFirstMealFirstFoodProteinCoeficient,proteinSourceFirstMealSecondFoodProteinCoeficient,proteinSourceFirstMealThirdFoodProteinCoeficient,proteinSourceFirstMealFirstFoodKcalCoeficient,proteinSourceFirstMealSecondFoodKcalCoeficient,proteinSourceFirstMealThirdFoodKcalCoeficient,proteinSourceSecondMealFirstFoodProteinCoeficient,proteinSourceSecondMealSecondFoodProteinCoeficient,proteinSourceSecondMealThirdFoodProteinCoeficient,proteinSourceSecondMealFirstFoodKcalCoeficient,proteinSourceSecondMealSecondFoodKcalCoeficient,proteinSourceSecondMealThirdFoodKcalCoeficient,proteinSourceThirdMealFirstFoodProteinCoeficient,proteinSourceThirdMealSecondFoodProteinCoeficient,proteinSourceThirdMealThirdFoodProteinCoeficient,proteinSourceThirdMealFirstFoodKcalCoeficient,proteinSourceThirdMealSecondFoodKcalCoeficient,proteinSourceThirdMealThirdFoodKcalCoeficient,proteinSourceFourthMealFirstFoodProteinCoeficient,proteinSourceFourthMealSecondFoodProteinCoeficient,proteinSourceFourthMealThirdFoodProteinCoeficient,proteinSourceFourthMealFirstFoodKcalCoeficient,proteinSourceFourthMealSecondFoodKcalCoeficient,proteinSourceFourthMealThirdFoodKcalCoeficient
88.0,31.46875,22.4751801570257,9.99565217391304,162.874763346314,605.781092917019,371.122613043478,35.9,18.5093673327764,2.52081666666667,219.259266666667,570.167626501619,128.258485666667,35.9,18.5093673327764,0.575,219.259266666667,570.167626501619,125.35825,31.46875,18.5093673327764,0.641666666666667,162.874763346314,570.167626501619,76.7596105034352
182.0,26.6866666666667,18.5093673327764,2.58825,212.4204,570.167626501619,123.5348925,31.46875,18.5093673327764,2.58825,162.874763346314,570.167626501619,123.5348925,31.46875,18.5093673327764,1.16458333333333,162.874763346314,570.167626501619,51.5884766362707,31.46875,0,2.52081666666667,162.874763346314,884,128.258485666667
221.4,29.175,0,0.641666666666667,232.883396666667,884,76.7596105034352,32.3833333333333,0,2.58825,218.6751,884,123.5348925,29.175,0,0.575,232.883396666667,884,125.35825,26.6866666666667,18.5093673327764,0.641666666666667,212.4204,570.167626501619,76.7596105034352
215.9,35.9,22.4751801570257,0.575,219.259266666667,605.781092917019,125.35825,32.3833333333333,0,0.575,218.6751,884,125.35825,32.3833333333333,0,0.575,218.6751,884,125.35825,29.175,0,1.16458333333333,232.883396666667,884,51.5884766362707
102.0,29.175,0,2.52081666666667,232.883396666667,884,128.258485666667,35.9,0,2.52081666666667,219.259266666667,884,128.258485666667,32.3833333333333,22.4751801570257,9.99565217391304,218.6751,605.781092917019,371.122613043478,31.46875,0,9.99565217391304,162.874763346314,884,371.122613043478
196.20000000000002,31.46875,0,2.58825,162.874763346314,884,123.5348925,31.46875,18.5093673327764,2.58825,162.874763346314,570.167626501619,123.5348925,31.46875,18.5093673327764,9.99565217391304,162.874763346314,570.167626501619,371.122613043478,29.175,18.5093673327764,2.52081666666667,232.883396666667,570.167626501619,128.258485666667
142.4,29.175,22.4751801570257,2.52081666666667,232.883396666667,605.781092917019,128.258485666667,31.46875,22.4751801570257,0.641666666666667,162.874763346314,605.781092917019,76.7596105034352,26.6866666666667,0,9.99565217391304,212.4204,884,371.122613043478,35.9,18.5093673327764,9.99565217391304,219.259266666667,570.167626501619,371.122613043478
139.4,32.3833333333333,18.5093673327764,0.575,218.6751,570.167626501619,125.35825,32.3833333333333,22.4751801570257,0.641666666666667,218.6751,605.781092917019,76.7596105034352,29.175,0,1.16458333333333,232.883396666667,884,51.5884766362707,29.175,18.5093673327764,9.99565217391304,232.883396666667,570.167626501619,371.122613043478
226.0,35.9,22.4751801570257,0.641666666666667,219.259266666667,605.781092917019,76.7596105034352,35.9,0,2.52081666666667,219.259266666667,884,128.258485666667,32.3833333333333,18.5093673327764,0.641666666666667,218.6751,570.167626501619,76.7596105034352,32.3833333333333,22.4751801570257,9.99565217391304,218.6751,605.781092917019,371.122613043478
142.5,35.9,0,2.52081666666667,219.259266666667,884,128.258485666667,26.6866666666667,22.4751801570257,2.58825,212.4204,605.781092917019,123.5348925,32.3833333333333,0,9.99565217391304,218.6751,884,371.122613043478,31.46875,18.5093673327764,0.641666666666667,162.874763346314,570.167626501619,76.7596105034352
